2022-06-22 18:16:39 startup archives install
2022-06-22 18:16:39 install base-passwd:amd64 <none> 3.5.52
2022-06-22 18:16:39 status half-installed base-passwd:amd64 3.5.52
2022-06-22 18:16:39 status unpacked base-passwd:amd64 3.5.52
2022-06-22 18:16:39 configure base-passwd:amd64 3.5.52 3.5.52
2022-06-22 18:16:39 status half-configured base-passwd:amd64 3.5.52
2022-06-22 18:16:39 status installed base-passwd:amd64 3.5.52
2022-06-22 18:16:39 startup archives install
2022-06-22 18:16:39 install base-files:amd64 <none> 12.2
2022-06-22 18:16:39 status half-installed base-files:amd64 12.2
2022-06-22 18:16:39 status unpacked base-files:amd64 12.2
2022-06-22 18:16:39 configure base-files:amd64 12.2 12.2
2022-06-22 18:16:39 status half-configured base-files:amd64 12.2
2022-06-22 18:16:39 status installed base-files:amd64 12.2
2022-06-22 18:16:39 startup archives install
2022-06-22 18:16:39 upgrade dpkg 1.21.8 1.21.8
2022-06-22 18:16:39 status half-configured dpkg 1.21.8
2022-06-22 18:16:39 status unpacked dpkg 1.21.8
2022-06-22 18:16:39 status half-installed dpkg 1.21.8
2022-06-22 18:16:40 status unpacked dpkg:amd64 1.21.8
2022-06-22 18:16:40 configure dpkg:amd64 1.21.8 1.21.8
2022-06-22 18:16:40 status half-configured dpkg:amd64 1.21.8
2022-06-22 18:16:40 status installed dpkg:amd64 1.21.8
2022-06-22 18:16:40 startup archives install
2022-06-22 18:16:40 install libc6:amd64 <none> 2.33-7
2022-06-22 18:16:40 status half-installed libc6:amd64 2.33-7
2022-06-22 18:16:41 status unpacked libc6:amd64 2.33-7
2022-06-22 18:16:41 configure libc6:amd64 2.33-7 2.33-7
2022-06-22 18:16:41 status half-configured libc6:amd64 2.33-7
2022-06-22 18:16:41 status installed libc6:amd64 2.33-7
2022-06-22 18:16:41 startup archives install
2022-06-22 18:16:41 install perl-base:amd64 <none> 5.34.0-4
2022-06-22 18:16:41 status half-installed perl-base:amd64 5.34.0-4
2022-06-22 18:16:42 status unpacked perl-base:amd64 5.34.0-4
2022-06-22 18:16:42 configure perl-base:amd64 5.34.0-4 5.34.0-4
2022-06-22 18:16:42 status half-configured perl-base:amd64 5.34.0-4
